study_id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,pred_label
0,0.023662123047887364,0.011618773739585486,-0.011038685943087682,-0.006355648715153821,0.008402841947259824,0.005951802977472846,0.008375041210678084,-0.009994166396598479,0.016279548190116535,0.007771580500104368,-0.020684115463420815,0.0033095322166139104,0.03936096739875433,0.016003824773606717,0.0017980920562851552,0.013756159116011437,-0.0026057717106447373,-0.0031174165208443924,0.009680970472494463,0.0010479866778639257,1.7947943400875161
1,-0.01033104227406413,-0.007539506282376818,-0.014565038486258992,-0.02037914306209983,-0.02092870998849017,-0.018016867326153915,0.022697452646651406,0.01056714416779214,-0.01174046173697435,-0.024284421857335693,-0.024852226115385026,0.01777428851616722,0.010315782240275982,-0.007260208590653627,0.02950941596196195,-0.04157267369025277,0.028548923285554636,0.0089003509404027,0.004125540276140201,0.028419324760376074,1.3330837082955465
2,-0.022680478818386522,-0.0034619571600419947,0.012318809856063859,-0.0003064375331073066,-0.011451191788494276,0.029501350865670697,-0.017053712905381463,-0.011729118880129182,-0.053095538466156784,-0.002247338967417125,0.018314300315839287,-0.018319571515181227,-0.03579502474509351,-0.004723424912978137,0.012863389544058346,-0.032755022383296646,-0.005863792174715001,0.011786935734317574,0.0009048978469532647,0.009582772137740326,-1.4018183116321832
3,0.0004677769718643383,-0.0026932190700298406,-0.013954316386788953,-0.014859318878206742,-0.007045133799312095,0.007359073223163608,-0.006762425480922303,0.0123516796247867,-0.004057157475519702,0.01218993269370215,0.010963827514057218,-0.027684439136771724,-0.030665313367763944,-0.0010046580426689461,0.025797846801475968,-0.002968473006459197,-0.018106401678435538,-0.006392439146299116,0.013367156562474988,-0.02326531392873645,0.55422420854776
4,-0.0012376156642742195,0.029877776281487682,0.0012802936337907198,0.0036506435921032513,-0.00011332461386434723,0.0017232856830750268,0.008098710858485932,-0.010281007849293946,0.01725665439046309,-0.008155164635363496,0.002033632686704884,-0.028141524241633426,-0.002896912380107321,0.02061206519044476,-0.0005372429159793339,4.345465972792771e-05,-0.03920521259299406,0.002273781865931913,0.023127222273868365,0.025333876656636993,3.204798659623573
5,-0.019234933972181442,-0.0024128791566547995,0.014799832952250758,0.0015660701168731543,0.006321829756323222,0.026515502092520276,0.011641473153521147,-0.01889088031872184,0.031664944938877,-0.0010344545033862534,0.01441954092217337,0.008492245223020204,-0.01703487841390647,-0.027804419701976384,-0.004034967854379431,0.003200486752871923,0.013571560206406635,0.02311930044569488,0.007879301912093805,-0.002983601173990312,-2.187068042362478
6,0.00438237892534423,0.025980742992378184,-0.0023813929335028783,-0.02011177903667358,-0.016335591880761616,0.010044560910451562,0.02385043659738984,0.024823636496071198,-0.0026786969636528233,-0.018643885904395655,0.01690128579230838,0.0016242022649445474,0.003172653817798099,-0.03663750690538987,0.03568240580879066,-0.008521249588343141,0.00399257117530777,-0.014011803245830436,0.02470697507372259,0.013914179577270043,-7.386057986984085
7,-0.013390892959937482,-0.02107159290651929,-0.0024359143185831147,0.01549522117197769,0.011242753606197836,-0.008142378974148157,0.014979425414986631,0.016978219777248737,0.011883703942572071,-0.007792129797118183,0.0043374345504183605,0.041619719192621016,0.025918533967601784,0.03219718402237751,0.003144683936217467,0.04616059112708235,-0.02843244965029779,-0.021536917729999373,-0.015609730204751444,0.006826257846097328,5.7337219305731
8,-0.006164367598802384,0.006538160359032675,-0.011651831010023869,-0.0032173485015391913,-0.024618351024240075,0.0007256450592014705,0.016285265759456907,-0.011304947167469374,0.035880604806704235,-0.009970832518679985,0.004910743241845431,0.024074930177584802,0.010913916055540618,-0.007374397136957658,0.0031158430244899865,-0.0025791496308455474,-0.01358515950565461,0.011435653295120782,0.01030186995285847,0.008839667536263347,-5.856138419166967
9,0.009634317591048235,0.019994086920888346,0.022918140750653505,-0.009776818872422086,-0.02649263339179749,-0.006756770920294708,-0.01214137077868682,-0.027656668629042397,0.04407109042147765,0.0225228900745805,0.006237124607788199,0.009387852882345525,0.02404084430453404,-0.005536104644243628,-0.04475437490927475,0.03664286380246727,-0.005207602222618891,0.022415051935488157,0.010746992408529936,0.024711945339290223,-3.6600171233056633
10,0.004856136722279337,-0.0038272485251225462,0.01187204173810078,0.001278600568280042,-0.002186274832734675,0.006721916880422988,0.020591070615700518,-0.013138159456072574,0.029396604644307236,0.0015332955491086844,-0.016158974929525775,0.018248319157750912,0.040371077665006694,0.014024100233832682,-0.02664083702778283,0.033301022180539666,0.005077237157543239,0.0016012448024745724,0.009322529534322426,0.02664808642808769,4.991090009095758
11,-0.015010376680821023,0.009827476979881782,-0.015572321631199768,0.0028347464726343904,-0.006239354223763799,0.012673606597829873,-0.0229801785874023,-0.00471974104361266,-0.008375736066751157,-0.03374020597279082,0.026589795762486074,0.01532335044557429,-0.01895874468775877,-0.02685846378765828,0.008137367629452035,-0.04022718299394706,0.01465702131105841,0.013384493025958443,-0.017912128139827295,-0.015220321500821806,-5.327511960102719
12,-0.006981329077529365,-0.00962249329415731,0.002431151318005491,0.010767222394290264,-0.022956733857085517,-0.01657558293374966,0.00986962783527562,0.012976839408836982,0.009847022970138803,-0.017797322273488174,0.014698562943127423,0.01784056787596119,0.007624370264201611,0.02449337300200425,0.007359539217729266,0.0073265120274310265,-0.0028070232698226023,-0.00325832064182052,-0.012080819593878212,-0.007608578420776397,0.4162518977178772
13,0.01964566166797595,0.021179810463706667,0.002544728023235406,-0.008820023128635432,0.013937000381749987,-0.0022870988551562783,0.007438939134109045,-0.002746931034872193,-0.018970929901751792,0.0012634742679889972,-0.008231285470462325,0.002952068945610599,-0.02035342820876338,0.02492054012212737,-0.047845412534956264,-0.02211319287327033,-0.028099053003731334,0.0065072446650052285,-0.007335602982955282,-0.024534216004303173,-0.25384694068187974
14,0.01686350206495449,0.004043734840428954,-0.003097443220153278,-0.019170942208163243,-0.04051076091860726,-0.02743090070704376,-0.004104582823931365,0.008617564734143535,-0.004450296860300175,-0.017110315547238412,-0.010381595466202822,-0.002715192865897266,0.024072231217644603,-0.00780883209663891,0.013023742365971763,-0.011981367937962662,0.02194530342589956,0.003167721150173825,-0.018036984721937734,0.012522842200044036,2.288181706242658
