study_id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,pred_label
0,0.028970454155003798,-0.015752010718678874,-0.000922655632281335,0.022523198255059596,0.0043571679623493524,-0.0018664100304600982,-0.00647210462435095,-0.018038501318958858,0.028198570270652586,0.04448755745071429,2.9981451956223775
1,0.007828025801579515,0.003920560275825516,0.019091943627835298,0.08708253772792446,-0.034662535356493336,0.02802759640445782,0.022428253412154896,0.006903192504542246,-0.02467463981779446,0.013187944242738642,3.8667268389857092
2,-0.014972574976668582,-0.00614948548308344,0.03198587455765714,0.04422879315470618,0.01580078903237505,0.02520886126620276,-0.0013815806349675177,-0.03706688612792579,-0.020821046619046973,0.012997661841496278,7.7971841204192645
3,-0.010370760606709372,-0.004166581946656418,-0.011440629869156728,-0.024563012462833714,0.0003416041156224728,-0.011023935889149777,-0.0076078039731126415,0.002129153159815428,-0.027444297050067824,-0.015370248774380679,0.5482690480834298
4,-0.00019306852968197996,-0.0013332408462854997,0.002514017058240045,-0.03934263562529097,0.02144271973627308,0.0065090145992383885,0.03062391303205233,-0.010511554327193291,0.024504871450342355,0.02918834270203553,-8.85073931132753
5,-0.027025571484520377,-0.021489121056881895,0.005989237097036413,0.01209528292849376,-0.005580326525538578,0.0016855775323456074,-0.006989048648313104,0.021598820353915596,-0.00855653326642306,0.0020877875559909263,1.480729937464913
6,-0.0169339401057212,-0.004255074185168269,0.006040382438497319,0.015671856483057144,0.012362623278453203,0.017679139240537614,-0.015403341469514217,0.0077835143051358194,0.018405025302141765,0.045212806710401995,5.148922131931257
7,0.022129968368818694,0.037692187277774056,-0.045887139190899574,-0.021011757697374064,-0.030958662907817125,-0.01585758230517307,-0.02920026080514556,0.025322289718284992,-0.019424829746226224,-0.029676398517464952,1.6274164646250546
8,-0.020742396303177056,-0.048080142976122134,0.017965525671936395,0.047606022109654415,-0.0021689648492994036,0.018098031614589467,0.010766651673484185,-0.013721623171833864,-0.010991630472603911,-0.014885359938794763,-2.0695616718028527
9,0.0044396943797499686,0.0005467320548166506,0.015278877811870803,0.04919091066904359,-0.016819021183997574,0.024261081242702154,0.03498402259523626,-0.032138150774426895,0.012375005188104636,-0.007032410535414014,2.001657121598321
10,0.027331465599627593,-0.019663441064597866,0.02156780294944649,0.022519146876421398,-0.0073426345015797975,0.026949822750022195,0.0014305328826774233,-0.027405032570355817,-0.0034904722766959835,0.03785814040523418,4.564045309366159
11,-0.010725236104758616,-0.028072398994719583,0.01752426195412775,0.0172942918302071,0.027067109206374868,0.0037042871818573526,0.0006697046012872058,-0.0007752426831613296,-0.015580471428711447,-0.018802556294198497,-7.462491533613074
12,0.028619829440163363,-0.01127358038639643,0.052925420351415,0.05587119197621971,-0.010531278152502674,-0.004440430361362551,0.011212634715892188,0.007650695358694146,0.00204011585205823,0.023250051805519624,6.22597207533135
13,-0.00868085471062559,-0.013972612146284048,-0.02737982908469181,0.010089043826350168,-0.02873223446124475,-0.03037982323892711,-0.01909365603856634,0.010974820322595951,0.00525402084269236,-0.03044026787146601,-0.06466716424914765
14,0.005948704579758669,0.009663939582601812,0.01127733863794686,0.010713170466878218,-0.006920061965695847,0.009592814120380187,0.009890993407954327,0.02669404128587575,-0.03118385499759176,0.013205069806885508,1.3497201605898335
15,-0.016839557210426157,0.018042396497937683,-0.0021561028337329893,-0.015290267287281415,-0.015184325117971418,-0.0012935695820403485,0.011260724237954977,-0.0150833026359245,0.0324318866917874,-0.044654117644462366,-3.3445057082671306
16,0.011342630714301008,0.007836258145348345,0.039740860064310775,0.015055994834032728,0.01646883590460375,0.008546859067541055,-0.010257330247534798,0.005277615625588421,-0.04245824383547766,-0.05029712026229443,0.7204136945102498
17,0.006216061908563663,-0.01904634411351877,0.013062206406193792,-0.023047877348575822,0.02050981432069934,0.015587075383485754,0.002394422479380407,0.009427821843026804,0.020240459783337862,-0.038626287806436906,14.106665889289843
18,0.002916397809169415,-0.005917942297674416,0.0179993280583115,0.039835326035111425,-0.0027948462580977074,-0.010839018439358923,-0.006461905915517518,-0.014826008883019461,-0.01470904210089709,-0.006208717045140011,5.8955124961365755
19,-0.03719993514631992,0.038223183805802946,0.04658702078552129,-0.019286988852716173,-0.003295259736644238,-0.007309184179841565,-0.004659687582387344,-0.011119071762045822,0.014114314627178798,0.051818798941163875,-3.0989623726167976
20,0.011674182991603355,0.009338698668017814,-0.033088543922852265,-0.03663966611224124,0.0025208626096534536,-0.021653940507791913,0.013480603289300501,-0.009631064384360682,0.0004307562144073964,-0.014193652136220238,-2.3768269942834075
21,-0.007932427927145902,0.0008067867422986506,-0.037996671094645676,-0.0022829991486499647,0.007893381246259717,-0.005754202963081209,-0.020198651585048934,0.01372810691243291,-0.020068130257381557,0.05700137859720567,-1.458217003937099
